date,user,message
2016. 3. 7. 오후 3:41,YH,안녕하세요! 이게 빠르지 않을까 해서요~ 엠티 관련해서는 회장님께서 이미 밴드에 올려 주셨어요!
2016. 3. 7. 오후 3:51,WH,네 안녕하세요~ ^^
2016. 3. 7. 오후 5:14,YH,넵ㅋㅋ 저희 카톡방을 만들어서 거기다 투표를 돌릴까요 아님 그냥 밴드에 두개로 할까요 총무님?
2016. 3. 7. 오후 5:21,KS,엠티관련해서 참석여부 투표를 말씀하신건가요?
2016. 3. 7. 오후 5:22,YH,네 저희 이번 토욜 관련해서도 투표를 올려야 해서요~
2016. 3. 7. 오후 5:24,KS,밴드보다는 카톡이 더 접근성이 있지 않을까요?
2016. 3. 7. 오후 5:24,KS,제가 연락처 다 저장해서 전체 카톡방 만들겠습니다^^
2016. 3. 7. 오후 5:55,KS,혹시 정도상님 연락처가 카톡에 저장되지 않는데
2016. 3. 7. 오후 5:55,KS,혹시 저장되신분 있으신가요?
2016. 3. 7. 오후 5:58,YH,연락처: 정도상5기 KMBDMBA
2016. 3. 7. 오후 5:58,YH,아 저도 카톡엔 안뜨네요!
2016. 3. 7. 오후 6:01,KS,밴드에 댓글다신거 보니 연락처는 맞는거 같은데 제가 개인적으로 연락해보겠습니다
2016. 3. 7. 오후 6:07,YH,네 감사합니다!!!
2016. 3. 7. 오후 6:16,KS,연락해 봤는데 카톡없이 살기중이라고 하시네요^^ 용기가 부럽습니다
2016. 3. 7. 오후 6:27,YH,헉 그게 되는구나 ㅋㅋㅋ
2016. 3. 9. 오후 1:24,YH,사진
2016. 3. 9. 오후 1:25,YH,저희 5기 통장 개설하였습니다~ 이번 주 수업때 공지하고 원우회비 걷으면 될 것 같습니다(crackup)
2016. 3. 9. 오후 1:25,YH,우리은행 YH 1002-055-193010
2016. 3. 9. 오후 1:26,YH,톡게시판 '공지': 우리은행 YH 1002-055-193010
2016. 3. 9. 오후 1:26,WH,이모티콘 제일 수고가 많으시네요 ^^
2016. 3. 9. 오후 1:34,HL,고생이 많으셔요~~^^
